Group,ATZ,MA,PROP,ATZT,MAT,PROPT,ATZS,MAS,PROPS,ATZBCF,MABCF,PROPBCF,Weight,SA,TotalT,TotalBCF,Totalsoil,AppRate,KOC,KOW
ATZ,1,0,0,71.52121587,,,12.69771491,,,5.632605265,,,1.7134,1.789268512,71.52121587,5.632605265,12.69771491,23.6,100,2.5
ATZ,1,0,0,25.08110461,,,19.53422036,,,1.283957288,,,2.5341,2.244322411,25.08110461,1.283957288,19.53422036,23.6,100,2.5
ATZ,1,0,0,19.38292403,,,13.95176297,,,1.389281346,,,2.0332,1.975638925,19.38292403,1.389281346,13.95176297,23.6,100,2.5
ATZ,1,0,0,25.87712484,,,15.08549153,,,1.715365044,,,3.6843,2.787345682,25.87712484,1.715365044,15.08549153,23.6,100,2.5
ATZ,1,0,0,6.776429551,,,13.7795504,,,0.491774358,,,2.1559,2.043818201,6.776429551,0.491774358,13.7795504,23.6,100,2.5
ATZ,1,0,0,42.67128214,,,19.94532486,,,2.139412742,,,2.1582,2.045080384,42.67128214,2.139412742,19.94532486,23.6,100,2.5
MA,0,1,0,,2.335542663,,,23.38718402,,,0.09986421,,2.897,2.425154851,2.335542663,0.09986421,23.38718402,25.9,1800,2.75
MA,0,1,0,,0.401201109,,,10.55445522,,,0.038012489,,2.0002,1.957008931,0.401201109,0.038012489,10.55445522,25.9,1800,2.75
MA,0,1,0,,0.653088188,,,9.966445081,,,0.0655287,,2.0931,2.009133027,0.653088188,0.0655287,9.966445081,25.9,1800,2.75
MA,0,1,0,,0.255474657,,,11.033564,,,0.023154319,,2.4281,2.189478269,0.255474657,0.023154319,11.033564,25.9,1800,2.75
MA,0,1,0,,0.284731883,,,15.67963061,,,0.018159349,,1.8155,1.850248779,0.284731883,0.018159349,15.67963061,25.9,1800,2.75
MA,0,1,0,,0.14012427,,,7.726574354,,,0.018135368,,2.2664,2.103832524,0.14012427,0.018135368,7.726574354,25.9,1800,2.75
PZ,0,0,1,,,0.000537811,,,2.285530658,,,0.000235311,3.9973,2.922094388,0.000537811,0.000235311,2.285530658,2.6,650,3.72
PZ,0,0,1,,,0.380895431,,,1.669634522,,,0.228131023,2.8816,2.417682157,0.380895431,0.228131023,1.669634522,2.6,650,3.72
PZ,0,0,1,,,0.375235724,,,2.267828698,,,0.165460347,1.998,1.955762348,0.375235724,0.165460347,2.267828698,2.6,650,3.72
PZ,0,0,1,,,0.247443503,,,1.688230622,,,0.146569728,1.9545,1.93099412,0.247443503,0.146569728,1.688230622,2.6,650,3.72
PZ,0,0,1,,,0.285562211,,,0.735373911,,,0.388322467,1.1879,1.447334277,0.285562211,0.388322467,0.735373911,2.6,650,3.72
PZ,0,0,1,,,0.139716725,,,1.27316806,,,0.10973942,2.3395,2.142858733,0.139716725,0.10973942,1.27316806,2.6,650,3.72
ATZMA,1,1,0,4.105411726,0.300451872,,14.55805778,14.73402463,,0.282002709,0.020391704,,1.766,1.820869873,4.405863597,0.302394413,29.29208241,49.5,,
ATZMA,1,1,0,18.0828639,2.008416532,,13.65665823,10.59984089,,1.324106059,0.189476102,,2.2464,2.093063099,20.09128043,1.51358216,24.25649912,49.5,,
ATZMA,1,1,0,27.68256624,6.064364174,,13.8229852,15.45546267,,2.002647462,0.392376748,,2.0137,1.964645815,33.74693041,2.39502421,29.27844787,49.5,,
ATZMA,1,1,0,19.04559785,0.890422935,,15.02127697,16.59410296,,1.267908041,0.053658998,,1.8167,1.850956779,19.93602079,1.321567039,31.61537993,49.5,,
ATZMA,1,1,0,13.29249991,1.104790883,,13.06283651,12.59892886,,1.017581434,0.087689271,,1.2746,1.507588417,14.39729079,1.105270705,25.66176538,49.5,,
